City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,thompson,55.7435,-97.8558,19.56,63,0,8.05,CA,1682064899
85,nikolskoye,59.7035,30.7861,53.49,74,100,5.5,RU,1682064787
86,codrington,-38.2667,141.9667,59.41,90,68,8.08,AU,1682064786
87,tanabe,33.7333,135.3667,71.78,67,100,12.41,JP,1682064728
88,caranavi,-15.8167,-67.55,57.6,99,100,1.86,BO,1682064900
89,puerto escondido,15.85,-97.0667,79.45,79,97,7.49,MX,1682064819
90,samarai,-10.6167,150.6667,82.65,72,68,10.09,PG,1682064901
91,keti bandar,24.1447,67.4497,85.71,57,83,17.05,PK,1682064901
92,olinda,-8.0089,-34.8553,76.73,88,40,0.0,BR,1682064901
93,egvekinot,66.3167,-179.1667,16.72,81,9,4.74,RU,1682064902
94,arraial do cabo,-22.9661,-42.0278,72.1,61,2,12.95,BR,1682064780
95,cabo san lucas,22.8909,-109.9124,72.52,66,74,8.99,MX,1682064834
96,maningrida,-12.0667,134.2667,79.02,84,57,12.1,AU,1682064904
97,bambous virieux,-20.3428,57.7575,84.45,70,75,12.66,MU,1682064905
98,chokurdakh,70.6333,147.9167,29.52,94,100,8.93,RU,1682064820
99,sao felix do xingu,-6.6447,-51.995,70.57,99,28,0.69,BR,1682064906
100,kijang,35.2442,129.2139,57.92,49,54,24.32,KR,1682064631
101,takoradi,4.8845,-1.7554,82.56,76,100,6.82,GH,1682064852
102,alofi,-19.0595,-169.9187,78.57,73,94,23.87,NU,1682064821
103,piacabucu,-10.4056,-36.4344,75.92,87,26,5.77,BR,1682064781
104,kiunga,-6.1219,141.2906,78.64,94,96,2.13,PG,1682064907
105,vao,-22.6667,167.4833,77.74,81,20,11.5,NC,1682064907
106,rujewa,-8.7,34.3833,77.86,59,98,5.82,TZ,1682064907
107,sungaipenuh,-2.0833,101.3833,73.94,86,100,3.06,ID,1682064822
108,fortuna,40.5982,-124.1573,51.93,81,97,1.01,US,1682064778
109,souillac,-20.5167,57.5167,84.58,70,75,12.66,MU,1682064810
110,pisco,-13.7,-76.2167,70.02,83,0,4.61,PE,1682064823
111,iki-burul,45.8208,44.6472,56.82,73,100,18.41,RU,1682064908
112,la crosse,43.8014,-91.2396,39.85,85,0,9.22,US,1682064909
113,kapaa,22.0752,-159.319,71.92,82,100,5.75,US,1682064818
114,vostok,46.4856,135.8833,36.12,59,100,15.61,RU,1682064909
115,tomatlan,19.9333,-105.25,65.59,92,5,2.19,MX,1682064910
116,leiyang,26.4024,112.8591,81.68,75,86,4.88,CN,1682064910
117,ust-kulom,61.6864,53.6902,36.43,97,100,3.15,RU,1682064910
118,palestine,31.9216,35.2033,61.36,58,3,3.71,PS,1682064910
119,castro,-24.7911,-50.0119,41.94,93,1,4.36,BR,1682064811
120,northam,51.0333,-4.2167,46.62,82,7,10.85,GB,1682064911
121,houston,29.7633,-95.3633,67.91,91,100,12.66,US,1682064572
122,vestmannaeyjar,63.4427,-20.2734,45.59,76,0,13.8,IS,1682064911
123,aklavik,68.2191,-135.0107,17.69,96,100,2.08,CA,1682064827
124,cayenne,4.9333,-52.3333,77.04,94,75,2.3,GF,1682064912
125,maroantsetra,-15.4333,49.7333,80.42,75,77,2.59,MG,1682064912
126,baykit,61.67,96.37,32.32,81,100,5.66,RU,1682064912
127,solnechnyy,50.7214,136.6319,31.82,94,100,10.98,RU,1682064913
128,mar del plata,-38.0023,-57.5575,51.82,81,0,10.36,AR,1682064727
129,praia da vitoria,38.7333,-27.0667,56.68,69,100,12.8,PT,1682064805
130,nirasaki,35.7,138.45,76.48,54,99,0.63,JP,1682064827
131,damoh,23.8333,79.45,100.13,12,35,15.57,IN,1682064913
132,hilo,19.7297,-155.09,77.29,90,100,3.44,US,1682064780
133,kavieng,-2.5744,150.7967,81.9,79,23,7.38,PG,1682064784
134,gat,31.61,34.7642,69.82,100,3,5.03,IL,1682064694
135,coquimbo,-29.9533,-71.3436,58.73,88,75,4.61,CL,1682064914
136,shubarkuduk,49.1447,56.4872,62.83,24,99,19.62,KZ,1682064915
137,guane,22.2025,-84.0875,69.87,84,0,5.5,CU,1682064915
138,batagay-alyta,67.8006,130.4114,17.47,81,96,3.49,RU,1682064915
139,zabol,32.25,67.25,65.41,12,0,18.81,AF,1682064915
140,carballo,43.213,-8.691,58.91,77,100,4.23,ES,1682064732
141,araouane,18.9048,-3.5265,82.8,15,2,14.2,ML,1682064916
142,puerto ayora,-0.7393,-90.3518,75.54,100,100,1.01,EC,1682064813
143,pontianak,-0.0333,109.3333,93.18,56,75,3.44,ID,1682064855
144,melfi,40.9965,15.6514,54.3,80,86,3.49,IT,1682064861
145,sao joao da barra,-21.6403,-41.0511,71.62,64,100,11.14,BR,1682064797
146,guerrero negro,27.9769,-114.0611,58.03,83,0,5.46,MX,1682064681
147,port alfred,-33.5906,26.891,66.18,56,22,8.99,ZA,1682064808
148,colomi,-17.35,-65.8667,46.08,86,100,1.88,BO,1682064917
149,la vista,41.1839,-96.0311,41.9,60,0,6.91,US,1682064918
150,yaring,6.8662,101.3689,87.44,64,80,10.16,TH,1682064720
151,alekseyevka,50.6309,38.6903,49.59,75,100,14.07,RU,1682064918
152,drummondville,45.8834,-72.4824,36.52,72,100,1.99,CA,1682064919
153,kondopoga,62.2057,34.2614,53.28,88,100,5.77,RU,1682064841
154,chuy,-33.6971,-53.4616,53.17,93,5,4.65,UY,1682064779
155,ilulissat,69.2167,-51.1,23.02,74,75,2.3,GL,1682064812
156,carnot,4.9409,15.8665,74.97,82,100,4.65,CF,1682064920
157,waipawa,-41.4122,175.5153,56.57,98,100,2.39,NZ,1682064920
158,san jose,37.3394,-121.895,54.82,71,0,15.01,US,1682064920
159,quime,-16.9833,-67.2167,46.2,82,99,2.95,BO,1682064921
160,new norfolk,-42.7826,147.0587,65.7,66,100,3.0,AU,1682064757
161,gazojak,41.1875,61.4036,73.2,12,0,14.0,TM,1682064881
162,staryy nadym,65.6118,72.6842,33.12,100,100,8.59,RU,1682064922
163,goundam,16.4145,-3.6708,88.7,15,7,14.99,ML,1682064922
164,mazyr,52.0495,29.2456,56.28,53,39,14.0,BY,1682064878
165,shakawe,-18.3667,21.85,83.21,29,74,5.84,BW,1682064923
166,saint george,37.1041,-113.5841,54.95,31,0,6.91,US,1682064923
167,saint-philippe,-21.3585,55.7679,83.79,76,23,11.14,RE,1682064810
168,matagami,49.7502,-77.6328,22.91,98,100,3.67,CA,1682064786
169,ribeira grande,38.5167,-28.7,57.78,67,40,20.71,PT,1682064679
170,tulun,54.5611,100.5792,36.43,30,100,8.55,RU,1682064924
171,hailar,49.2,119.7,38.91,13,70,18.77,CN,1682064924
172,mwense,-10.3845,28.698,76.66,68,75,4.85,ZM,1682064924
173,kenai,60.5544,-151.2583,35.15,76,0,0.0,US,1682064791
174,sao filipe,14.8961,-24.4956,72.93,77,70,10.51,CV,1682064925
175,port moresby,-9.4431,147.1797,80.67,85,63,14.92,PG,1682064538
176,mahebourg,-20.4081,57.7,84.49,70,75,12.66,MU,1682064781
177,bara,10.3744,10.7288,90.32,44,71,13.33,NG,1682064925
178,severo-kurilsk,50.6789,156.125,32.59,96,100,40.51,RU,1682064829
179,padang,-0.9492,100.3543,87.85,80,65,2.77,ID,1682064715
180,clyde river,70.4692,-68.5914,1.63,85,0,6.91,CA,1682064807
181,dikson,73.5069,80.5464,20.52,84,100,17.87,RU,1682064831
182,magdagachi,53.45,125.8,36.28,47,100,10.49,RU,1682064927
183,hommelvik,63.4108,10.7942,48.16,61,0,2.3,NO,1682064927
184,menongue,-14.6585,17.691,71.46,63,97,4.43,AO,1682064928
185,dubbo,-32.25,148.6167,69.93,35,0,6.91,AU,1682064720
186,bethel,41.3712,-73.414,51.21,72,0,0.0,US,1682064802
187,timbiqui,2.7717,-77.6654,74.34,94,100,4.47,CO,1682064929
188,hambantota,6.1241,81.1185,89.11,62,40,18.25,LK,1682064843
189,leningradskiy,69.3833,178.4167,22.06,82,13,2.15,RU,1682064929
190,mamallapuram,12.6264,80.1722,100.45,57,1,16.73,IN,1682064929
191,north bend,43.4065,-124.2243,51.71,88,100,12.66,US,1682064929
192,port elizabeth,-33.918,25.5701,61.09,67,75,18.01,ZA,1682064787
193,dolzhanskaya,46.6311,37.8039,51.62,92,98,11.77,RU,1682064930
194,kulhudhuffushi,6.6221,73.07,83.88,66,14,1.52,MV,1682064930
195,severo-yeniseyskiy,60.3725,93.0408,27.81,75,100,3.62,RU,1682064693
196,airai,-8.9266,125.4092,67.82,65,50,1.97,TL,1682064813
197,huarmey,-10.0681,-78.1522,74.86,86,100,9.1,PE,1682064793
198,kaitangata,-46.2817,169.8464,50.76,94,52,2.21,NZ,1682064788
199,christchurch,-43.5333,172.6333,57.9,92,100,5.75,NZ,1682064931
200,esmeraldas,-19.7625,-44.3139,62.91,90,11,4.12,BR,1682064931
201,colonial park,40.3006,-76.8097,56.95,82,0,6.91,US,1682064932
202,boyolangu,-8.1181,111.8935,81.97,81,99,8.21,ID,1682064932
203,goderich,43.7501,-81.7165,50.92,66,100,8.05,CA,1682064932
204,san patricio,28.017,-97.5169,77.9,86,98,7.43,US,1682064787
205,pionerskiy,54.9508,20.2275,53.44,78,16,7.67,RU,1682064932
206,nantucket,41.2835,-70.0995,46.99,83,0,8.05,US,1682064933
207,nynashamn,58.9034,17.9479,48.97,66,18,3.47,SE,1682064933
208,kalispell,48.1958,-114.3129,34.77,84,20,0.0,US,1682064933
209,saldanha,-33.0117,17.9442,58.1,57,30,7.81,ZA,1682064825
210,rio gallegos,-51.6226,-69.2181,42.85,75,40,18.41,AR,1682064684
211,sibolga,1.7427,98.7792,83.73,80,64,4.16,ID,1682064729
212,geraldton,-28.7667,114.6,84.61,26,25,13.8,AU,1682064619
213,butaritari,3.0707,172.7902,83.61,76,41,12.35,KI,1682064794
214,aykhal,66.0,111.5,22.66,82,100,9.78,RU,1682064935
215,isabela,6.7085,121.9711,87.85,70,100,3.02,PH,1682064935
216,lorengau,-2.0226,147.2712,83.07,73,75,2.59,PG,1682064935
217,barcelona,41.3888,2.159,65.86,77,20,4.61,ES,1682064606
218,namibe,-15.1961,12.1522,80.26,71,98,10.13,AO,1682064840
219,adrar,20.5022,-10.0711,74.46,19,100,9.42,MR,1682064830
220,chernyshevskiy,63.0128,112.4714,27.63,73,100,5.84,RU,1682064844
221,bonthe,7.5264,-12.505,76.28,81,100,5.61,SL,1682064936
222,shimoda,34.6667,138.95,72.1,80,100,7.43,JP,1682064661
223,riwaka,-41.0833,173.0,63.01,96,100,1.95,NZ,1682064937
224,olga,43.7444,135.2892,49.35,27,31,13.69,RU,1682064937
225,coahuayana,18.7333,-103.6833,69.66,82,100,1.72,MX,1682064937
226,bengkulu,-3.8004,102.2655,84.83,71,41,6.2,ID,1682064804
227,sola,-13.8833,167.55,82.47,74,95,6.2,VU,1682064938
228,erzin,36.9559,36.2,65.35,62,8,5.68,TR,1682064938
229,colares,38.7992,-9.4469,62.94,91,75,14.0,PT,1682064938
230,lagoa,39.05,-27.9833,57.36,65,100,24.79,PT,1682064778
231,mujiayingzi,42.1167,118.7833,57.99,8,30,13.13,CN,1682064939
232,kambove,-10.8764,26.5969,71.73,74,48,6.98,CD,1682064939
233,bedford,52.1346,-0.4663,46.22,94,75,6.91,GB,1682064939
234,cidreira,-30.1811,-50.2056,58.86,83,2,5.26,BR,1682064793
235,altamira,-3.2033,-52.2064,72.21,100,96,2.21,BR,1682064843
236,ojinaga,29.5667,-104.4167,65.41,19,0,3.44,MX,1682064940
237,bourail,-21.5667,165.4833,76.33,88,79,5.7,NC,1682064941
238,saskylakh,71.9167,114.0833,5.4,91,22,7.34,RU,1682064785
239,lodja,-3.4833,23.4333,73.51,94,100,4.56,CD,1682064941
240,garowe,8.4054,48.4845,88.23,37,3,7.99,SO,1682064930
241,jacksonville,30.3322,-81.6556,72.0,86,0,3.44,US,1682064942
242,tasiilaq,65.6145,-37.6368,26.76,78,34,6.93,GL,1682064797
243,najran,17.4924,44.1277,80.35,37,11,8.1,SA,1682064777
244,port lincoln,-34.7333,135.8667,63.95,69,36,5.48,AU,1682064791
245,thaton,16.9206,97.3714,93.92,42,0,12.3,MM,1682064943
246,saint-augustin,51.226,-58.6502,34.3,85,100,12.28,CA,1682064943
247,kirakira,-10.4544,161.9205,80.4,81,98,4.61,SB,1682064807
248,umm lajj,25.0213,37.2685,80.64,63,0,13.0,SA,1682064812
249,bhag,29.0415,67.8239,93.87,3,0,2.64,PK,1682064944
250,bilma,18.6853,12.9164,91.13,7,7,9.89,NE,1682064944
251,upernavik,72.7868,-56.1549,3.22,76,96,5.66,GL,1682064796
252,huanan,46.2167,130.5167,47.26,27,98,20.67,CN,1682064945
253,broken hill,-31.95,141.4333,65.77,43,0,11.43,AU,1682064792
254,aitape,-3.1374,142.3475,82.29,82,48,4.94,PG,1682064945
255,lingao,19.9103,109.6859,85.6,70,33,4.29,CN,1682064945
256,naze,28.3667,129.4833,69.91,86,30,16.44,JP,1682064678
257,nushki,29.5542,66.0215,77.54,6,0,8.81,PK,1682064946
258,priyutnoye,46.1011,43.5072,57.76,75,100,17.16,RU,1682064946
259,fort wellington,6.4,-57.6,76.55,90,51,7.87,GY,1682064946
260,broome,42.2506,-75.833,55.54,74,99,1.01,US,1682064946
261,auki,-8.7676,160.7034,78.28,87,100,4.9,SB,1682064947
262,borisoglebskiy,57.2586,39.1508,51.33,55,4,6.31,RU,1682064947
263,shahe,39.2708,113.5478,38.43,97,100,4.38,CN,1682064948
264,acarau,-2.8856,-40.12,76.87,88,84,6.31,BR,1682064907
265,pozo colorado,-23.4923,-58.7972,51.67,79,0,4.85,PY,1682064948
266,santa rosa,14.3122,121.1114,95.09,60,100,3.29,PH,1682064865
267,dingle,10.9995,122.6711,88.11,62,98,3.4,PH,1682064803
268,marawi,7.9986,124.2928,75.67,86,100,3.02,PH,1682064949
269,bathsheba,13.2167,-59.5167,79.41,83,75,11.5,BB,1682064949
270,praia,14.9215,-23.5087,72.14,73,75,14.97,CV,1682064949
271,sakakah,29.9697,40.2064,79.27,31,0,3.98,SA,1682064696
272,erenhot,43.6475,111.9767,58.69,11,100,13.91,CN,1682064738
273,aasiaat,68.7098,-52.8699,11.53,90,100,5.75,GL,1682064950
274,tura,25.5198,90.2201,93.47,38,59,4.85,IN,1682064885
275,high rock,26.6208,-78.2833,68.02,74,2,10.51,BS,1682064950
276,simbahan,6.3032,120.5836,83.84,68,91,1.95,PH,1682064951
277,itaituba,-4.2761,-55.9836,72.95,99,93,2.21,BR,1682064951
278,moron,-34.6534,-58.6198,58.78,78,100,5.95,AR,1682064673
279,torres,-29.3353,-49.7269,59.83,69,69,1.9,BR,1682064951
280,ilhabela,-23.7781,-45.3581,62.46,78,0,4.45,BR,1682064951
281,laguna,38.421,-121.4238,58.32,71,0,5.75,US,1682064952
282,namatanai,-3.6667,152.4333,81.41,81,74,9.17,PG,1682064828
283,demirci,39.0461,28.6589,53.78,57,11,4.81,TR,1682064952
284,turukhansk,65.8167,87.9833,31.17,81,96,9.46,RU,1682064953
285,sabang,5.8933,95.3214,83.97,75,100,8.84,ID,1682064953
286,noyabrsk,63.1994,75.4507,33.21,100,100,10.56,RU,1682064953
287,bose,45.4612,8.0137,51.3,96,100,3.71,IT,1682064954
288,lubao,14.9167,120.55,96.51,53,100,7.74,PH,1682064954
289,lichinga,-13.3128,35.2406,71.69,78,40,2.3,MZ,1682064950
290,shalyhyne,51.5717,34.1217,49.77,72,100,16.58,UA,1682064954
291,east london,-33.0153,27.9116,67.14,42,20,18.41,ZA,1682064836
292,longyearbyen,78.2186,15.6401,4.84,66,20,16.11,SJ,1682064701
293,arlit,18.7369,7.3853,94.06,8,3,8.9,NE,1682064793
294,cagliari,39.245,9.0912,65.91,63,0,3.44,IT,1682064956
295,qasigiannguit,68.8193,-51.1922,23.25,80,100,3.38,GL,1682064956
296,muhos,64.808,25.9931,46.18,99,100,2.82,FI,1682064956
297,tessalit,20.1986,1.0114,86.54,14,1,4.14,ML,1682064956
298,bayburt,40.2589,40.2278,48.45,55,82,5.23,TR,1682064957
299,fairbanks,64.8378,-147.7164,36.23,74,20,3.44,US,1682064839
300,knysna,-34.0363,23.0471,60.87,54,16,10.78,ZA,1682064957
301,galle,6.0367,80.217,86.43,66,53,9.42,LK,1682064957
302,lasa,46.6166,10.7002,48.02,95,96,4.76,IT,1682064958
303,beaverlodge,55.2166,-119.4361,31.35,67,76,9.53,CA,1682064958
304,roald,62.5833,6.1333,50.76,93,100,6.91,NO,1682064958
305,los andes,-32.8337,-70.5983,54.01,64,100,0.65,CL,1682064704
306,portland,45.5234,-122.6762,49.33,94,75,6.91,US,1682064959
307,port-gentil,-0.7193,8.7815,84.16,84,75,9.22,GA,1682064959
308,talnakh,69.4865,88.3972,24.21,88,50,10.04,RU,1682064960
309,oriximina,-1.7656,-55.8661,74.37,96,59,3.76,BR,1682064960
310,anloga,5.7947,0.8973,83.98,74,92,14.27,GH,1682064960
311,quelimane,-17.8786,36.8883,82.6,58,0,2.75,MZ,1682064909
312,axim,4.8699,-2.2405,83.44,75,67,6.73,GH,1682064961
313,kassala,15.451,36.4,96.85,13,0,11.72,SD,1682064961
314,provideniya,64.3833,-173.3,22.33,93,100,2.08,RU,1682064962
315,petropavlovsk-kamchatskiy,53.0452,158.6483,34.39,80,75,17.9,RU,1682064740
316,selma,36.5708,-119.6121,56.98,74,0,0.0,US,1682064962
317,hartselle,34.4434,-86.9353,64.69,83,100,8.7,US,1682064963
318,sierra vista,31.5545,-110.3037,56.01,22,0,9.22,US,1682064963
319,bilibino,68.0546,166.4372,25.88,85,87,3.29,RU,1682064666
320,halifax,44.6453,-63.5724,39.2,73,66,14.97,CA,1682064964
321,barabinsk,55.3571,78.357,44.92,30,52,12.84,RU,1682064871
322,luderitz,-26.6481,15.1594,66.4,51,0,10.54,NA,1682064612
323,tera,14.0078,0.7531,91.89,9,100,1.86,NE,1682064965
324,jacareacanga,-6.2222,-57.7528,73.47,99,100,1.32,BR,1682064965
325,tselinnoye,53.0833,85.6667,31.91,85,58,3.89,RU,1682064966
326,hanmer springs,-42.5167,172.8167,57.36,95,100,1.59,NZ,1682064924
327,swinoujscie,53.9105,14.2471,63.18,66,0,5.75,PL,1682064966
328,sungairaya,0.7,108.9,86.45,63,100,7.07,ID,1682064966
329,walvis bay,-22.9575,14.5053,59.09,73,8,4.81,NA,1682064766
330,lethem,3.3803,-59.7968,75.51,91,98,7.58,GY,1682064826
331,zambezi,-13.5432,23.1047,77.76,60,98,6.58,ZM,1682064968
332,muros,42.7762,-9.0603,59.09,76,100,8.34,ES,1682064968
333,beyneu,45.3167,55.2,72.73,8,77,28.23,KZ,1682064968
334,murray bridge,-35.1167,139.2667,65.12,69,11,9.31,AU,1682064748
335,springdale,36.1867,-94.1288,53.73,79,0,4.61,US,1682064969
336,el cope,8.6167,-80.6,64.69,84,63,3.96,PA,1682064969
337,jumla,29.2747,82.1838,55.26,67,100,5.41,NP,1682064970
338,sinnamary,5.3833,-52.95,77.13,91,100,10.36,GF,1682064971
339,simao,22.7886,100.9748,93.83,14,18,9.69,CN,1682064940
340,kutum,14.2,24.6667,89.17,7,1,17.07,SD,1682064971
341,guymon,36.6828,-101.4816,46.4,29,0,8.05,US,1682064972
342,matay,28.419,30.7792,73.9,27,2,15.12,EG,1682064946
343,bubaque,11.2833,-15.8333,76.77,72,100,7.52,GW,1682064972
344,bandarbeyla,9.4942,50.8122,85.53,60,0,7.92,SO,1682064973
345,sokolo,14.7328,-6.1219,87.82,14,100,13.02,ML,1682064973
346,hami,42.8,93.45,63.72,7,100,3.0,CN,1682064839
347,los llanos de aridane,28.6585,-17.9182,64.15,81,20,4.61,ES,1682064973
348,sabya,17.1495,42.6254,92.82,43,44,11.34,SA,1682064974
349,taltal,-25.4,-70.4833,61.95,89,37,1.59,CL,1682064974
350,gizo,-8.103,156.8419,82.83,74,95,7.18,SB,1682064974
351,beyla,8.6833,-8.6333,71.62,83,100,4.99,GN,1682064974
352,illela,13.7292,5.2975,93.81,10,99,6.38,NG,1682064975
353,fort nelson,58.8053,-122.7002,35.19,93,100,2.3,CA,1682064975
354,khonsa,27.0167,95.5667,84.16,38,82,6.22,IN,1682064975
355,lujiang,31.2581,117.2817,73.33,53,70,14.45,CN,1682064975
356,olafsvik,64.8945,-23.7142,43.25,92,100,2.48,IS,1682064813
357,faanui,-16.4833,-151.75,82.76,79,100,17.58,PF,1682064811
358,luwuk,-0.9516,122.7875,81.12,89,100,1.77,ID,1682064814
359,nouadhibou,20.931,-17.0347,66.18,82,20,14.97,MR,1682064911
360,carinhanha,-14.3047,-43.765,69.21,97,19,1.88,BR,1682064976
361,log,49.4844,43.8613,51.12,54,100,11.72,RU,1682064977
362,kavaratti,10.5669,72.642,84.72,65,100,4.81,IN,1682064977
363,sechura,-5.5569,-80.8222,77.11,80,100,7.52,PE,1682064977
364,aksarka,66.5606,67.7975,32.5,95,100,10.16,RU,1682064978
365,pokhara,28.2333,83.9833,72.57,41,100,11.5,NP,1682064687
366,isla mujeres,21.2311,-86.731,78.85,78,0,11.77,MX,1682064833
367,vuktyl,63.8567,57.3094,35.6,91,100,6.33,RU,1682064978
368,ponta delgada,37.7333,-25.6667,57.92,77,40,13.8,PT,1682064979
369,voh,-20.9667,164.7,76.68,88,67,5.7,NC,1682064805
